configuration,deviation,class,type,detected,distance_m,resolved_by,best_visible_fraction
chassis,T1-pallet-stack,trivial,unexpected,True,14.203,chassis,0.111111
chassis,T2-site-cabin,trivial,unexpected,True,14.203,chassis,0.111111
chassis,H1-rack-tote,height,unexpected,False,inf,,0.0
chassis,H2-cabinet-carton,height,unexpected,False,inf,,0.0
chassis,I1-window-displaced,incidence,displaced,True,14.203,chassis,0.166667
chassis,I2-standing-panel,incidence,unexpected,False,inf,,0.0
chassis,O1-crate-behind-stack,occluded,unexpected,True,14.203,chassis,0.166667
chassis,O2-drum-behind-rack,occluded,unexpected,True,15.163,chassis,0.166667
wrist,T1-pallet-stack,trivial,unexpected,True,12.855,wrist,0.333333
wrist,T2-site-cabin,trivial,unexpected,True,6.0,wrist,0.111111
wrist,H1-rack-tote,height,unexpected,True,0.0,wrist,0.185185
wrist,H2-cabinet-carton,height,unexpected,True,9.06,wrist,0.203704
wrist,I1-window-displaced,incidence,displaced,True,6.0,wrist,0.166667
wrist,I2-standing-panel,incidence,unexpected,True,6.0,wrist,0.111111
wrist,O1-crate-behind-stack,occluded,unexpected,True,24.233,wrist,0.111111
wrist,O2-drum-behind-rack,occluded,unexpected,True,0.0,wrist,0.333333
both,T1-pallet-stack,trivial,unexpected,True,8.885,wrist,0.333333
both,T2-site-cabin,trivial,unexpected,True,6.422,wrist,0.055556
both,H1-rack-tote,height,unexpected,True,0.0,wrist,0.185185
both,H2-cabinet-carton,height,unexpected,True,8.885,wrist,0.203704
both,I1-window-displaced,incidence,displaced,True,17.203,wrist,0.055556
both,I2-standing-panel,incidence,unexpected,True,17.203,wrist,0.166667
both,O1-crate-behind-stack,occluded,unexpected,True,19.183,wrist,0.333333
both,O2-drum-behind-rack,occluded,unexpected,True,0.0,wrist,0.333333
